BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;38054961935;4095;4095;0x4080
0;0;40349149248;4095;1;0x4080
0;0;40386145873;24;2;0x4000
0;0;40515777248;4095;1;0x4080
0;0;40801806000;24;9;0x4000
0;0;40863011499;4095;1;0x4080
0;0;40938169873;8;1;0x4000
0;0;40959267374;4095;1;0x4080
0;0;42121811936;7;1;0x4000
0;0;43820473748;12;0;0x4000
0;0;44750823687;4095;3;0x4080
0;0;47647827687;4095;0;0x4080
0;0;48787657624;4095;0;0x4080
0;0;48984614998;4095;1;0x4080
0;0;49264547748;4095;4;0x4080
0;0;49287279874;7;1;0x4000
0;0;49912501249;4095;0;0x4080
0;0;50981211936;4095;0;0x4080
0;0;51690041311;9;1;0x4000
0;0;51869623999;4095;2;0x4080
0;0;52022973873;4095;0;0x4080
0;0;52059378999;4095;2;0x4080
0;0;52235649998;13;1;0x4000
0;0;52272677874;4095;2;0x4080
0;0;52365557311;4095;2;0x4080
0;0;52496515374;10;1;0x4000
0;0;52555307998;4095;4095;0x4080
0;0;52689734000;21;0;0x4000
0;0;52710999873;4095;1;0x4080
0;0;52729910000;15;1;0x4000
0;0;52748743935;4095;1;0x4080
0;0;52767559498;4095;4;0x4080
0;0;52841044000;4095;3;0x4080
0;0;53575204498;4095;1;0x4080
0;0;53796999686;4095;4095;0x4080
0;0;53827409873;12;1;0x4000
0;0;56070419687;4095;4095;0x4080
0;0;56859975248;4;0;0x4000
0;0;58865132000;2;0;0x4000
0;0;59686499998;4095;0;0x4080
0;0;59722243749;4095;1;0x4080
0;0;59870561873;2;1;0x4000
0;0;59884222999;4095;0;0x4080
0;0;60051927624;4095;0;0x4080
0;0;60306691748;4095;2;0x4080
0;0;60551927873;4095;4095;0x4080
0;0;60618335748;4095;0;0x4080
0;0;61724113686;4095;4095;0x4080
0;0;63301951749;4095;4095;0x4080
0;0;64268592624;4095;2;0x4080
0;0;64625743499;4095;4095;0x4080
0;0;64927085748;4095;1;0x4080
0;0;65381837749;4095;4095;0x4080
0;0;67655784000;4095;0;0x4080
0;0;67929965874;4095;1;0x4080
0;0;68109832000;4095;2;0x4080
0;0;68165609373;4095;2;0x4080
0;0;68623317936;17;0;0x4000
0;0;69286401498;5;1;0x4000
0;0;70922865999;4095;4095;0x4080
0;0;70949395624;6;3;0x4000
0;0;71278174248;462;20;0x4000
0;0;71908537311;8;1;0x4000
0;0;71926893499;5;6;0x4000
0;0;72218565748;4095;1;0x4080
0;0;72252917935;2;0;0x4000
0;0;72394149874;7;1;0x4000
0;0;72646166499;14;2;0x4000
0;0;73050835748;4095;1;0x4080
0;0;73852605874;5;2;0x4000
0;0;73955281935;4095;0;0x4080
0;0;74227467499;1;4095;0x4080
0;0;75052045873;13;3;0x4000
0;0;75991561499;1;4095;0x4080
0;0;76633812999;3;0;0x4000
0;0;78819229248;4095;4095;0x4080
0;0;78849164000;4095;2;0x4080
0;0;79680869561;4095;2;0x4080
0;0;79869977937;4095;1;0x4080
0;0;80110139249;4095;4095;0x4080
0;0;80186935624;4095;1;0x4080
0;0;80302069374;4095;4095;0x4080
0;0;80320949373;1;0;0x4000
0;0;80495202001;4095;4095;0x4080
0;0;80572327873;21;1;0x4000
0;0;80597991624;226;17;0x4000
0;0;80702161937;4095;1;0x4080
0;0;80775823374;4095;2;0x4080
0;0;80831099374;4095;1;0x4080
0;0;81091427374;5;1;0x4000
0;0;81161117811;11;2;0x4000
0;0;82552091248;4095;4095;0x4080
0;0;83601786374;0;3;0x4000
0;0;84606687624;4095;0;0x4080
0;0;84861489936;4095;4095;0x4080
0;0;86904655748;34;2;0x4000
0;0;86968591811;1;0;0x4000
0;0;87177139562;4095;4;0x4080
0;0;87435879874;4095;2;0x4080
0;0;88011131748;22;1;0x4000
0;0;88394125624;4;0;0x4000
0;0;88654720998;4095;4095;0x4080
0;0;90357697123;4095;4095;0x4080
0;0;90601563686;4095;4095;0x4080
0;0;91288495686;2;2;0x4000
0;0;91498013248;4095;0;0x4080
0;0;91684090749;23;1;0x4000
0;0;91832635498;4095;2;0x4080
0;0;92051195999;27;3;0x4000
0;0;92130749624;24;3;0x4000
0;0;92428394998;4095;4095;0x4080
0;0;92447109498;4095;2;0x4080
0;0;92547109061;19;4095;0x4080
0;0;92607241624;11;1;0x4000
0;0;92683169999;13;2;0x4000
0;0;92801901373;2;0;0x4000
0;0;92927056749;4095;3;0x4080
0;0;94052331249;4095;7;0x4080
0;0;94316824748;366;22;0x4000
0;0;95248967874;5;0;0x4000
0;0;95599317499;4095;4095;0x4080
0;0;96180227248;4;1;0x4000
0;0;96957196561;191;18;0x4000
0;0;97052211748;6;3;0x4000
0;0;98709745686;18;2;0x4000
0;0;99802971999;16;0;0x4000
0;0;100200529748;24;2;0x4000
0;0;100318030999;26;3;0x4000
0;0;100506728999;4095;1;0x4080
0;0;100599420810;3;1;0x4000
0;0;100761960498;4095;4095;0x4080
0;0;102039019812;4095;4095;0x4080
0;0;102938431749;4095;4095;0x4080
0;0;103496943685;4095;4095;0x4080
0;0;104802409811;28;8;0x4000
0;0;104822335624;6;2;0x4000
0;0;104826601249;150;16;0x4000
0;0;106465313624;10;4095;0x4080
0;0;107103445561;4095;1;0x4080
0;0;107238820998;4095;0;0x4080
0;0;107675940001;3;1;0x4000
0;0;107783034999;4095;1;0x4080
0;0;108714463123;16;0;0x4000
0;0;108750161937;4095;4095;0x4080
0;0;109211021937;4095;0;0x4080
0;0;111597970000;151;18;0x4000
0;0;111927441749;12;4;0x4000
0;0;112006297874;13;0;0x4000
0;0;112124415749;4095;1;0x4080
0;0;112201892499;4095;2;0x4080
0;0;113030165999;25;4;0x4000
0;0;113606887624;17;1;0x4000
0;0;114108249874;4095;0;0x4080
0;0;114135383998;4095;1;0x4080
0;0;115177339874;30;3;0x4000
0;0;115803897748;4095;1;0x4080
0;0;116301365873;4095;2;0x4080
0;0;116643399873;4095;2;0x4080
0;0;120126887686;4095;2;0x4080
0;0;120199587623;3;0;0x4000
0;0;120511955498;4095;2;0x4080
0;0;120564549373;6;2;0x4000
0;0;120758051874;4095;2;0x4080
0;0;120851974874;0;6;0x4000
0;0;121177529873;38;10;0x4000
0;0;123119135811;4095;1;0x4080
0;0;123677401748;12;3;0x4000
0;0;123826376001;4095;0;0x4080
0;0;124171637124;253;20;0x4000
0;0;125282801623;4;2;0x4000
0;0;126116239998;4095;1;0x4080
0;0;127134550499;5;3;0x4000
0;0;127341412000;16;4;0x4000
0;0;127819263874;24;3;0x4000
0;0;127878563937;4095;3;0x4080
0;0;128257345373;4095;1;0x4080
0;0;128419781498;4095;1;0x4080
0;0;128661827123;1;3;0x4000
0;0;128729368749;4;3;0x4000
0;0;129064779874;4095;1;0x4080
0;0;130187185998;4095;4095;0x4080
0;0;130616109935;4095;2;0x4080
0;0;132091269374;4095;2;0x4080
0;0;132401031374;4095;2;0x4080
0;0;132605381499;19;3;0x4000
0;0;133153639874;4095;2;0x4080
0;0;133632007873;4095;2;0x4080
0;0;133686685248;195;15;0x4000
0;0;133801409998;4095;1;0x4080
0;0;135349187811;4095;0;0x4080
0;0;135625643624;4095;3;0x4080
0;0;135916517498;4095;4095;0x4080
0;0;136806817248;25;3;0x4000
0;0;138626070499;4095;0;0x4080
0;0;139193771498;4095;0;0x4080
0;0;139412891248;238;11;0x4000
0;0;139634613624;4095;0;0x4080
0;0;139723511312;4095;4095;0x4080
0;0;139952635749;4095;0;0x4080
0;0;140331490999;4095;1;0x4080
0;0;140907361748;4095;0;0x4080
0;0;141212535498;4095;4095;0x4080
0;0;141802405749;2;4;0x4000
0;0;142791400001;4095;1;0x4080
0;0;143039717499;4095;0;0x4080
0;0;143055387499;4095;4095;0x4080
0;0;143340119499;4095;0;0x4080
0;0;143360791873;4095;1;0x4080
0;0;143609125811;4095;0;0x4080
0;0;143827209248;2;4095;0x4080
0;0;144878977623;253;14;0x4000
0;0;146328515748;4095;1;0x4080
0;0;146584725748;4095;2;0x4080
0;0;146992979874;7;2;0x4000
0;0;147026829874;4095;3;0x4080
0;0;147044999874;22;1;0x4000
0;0;149045777624;17;0;0x4000
0;0;149427593249;4095;5;0x4080
0;0;150092547373;5;1;0x4000
0;0;150734465499;13;0;0x4000
0;0;151373293749;4095;4095;0x4080
0;0;151468663748;4095;0;0x4080
0;0;151891586998;8;0;0x4000
0;0;151910323249;18;0;0x4000
0;0;152075249623;4095;1;0x4080
0;0;152251861498;4095;1;0x4080
0;0;152255091874;354;20;0x4000
0;0;152708085749;4095;1;0x4080
0;0;153199271498;13;4095;0x4080
0;0;153279963124;393;18;0x4000
0;0;154658283873;4095;1;0x4080
0;0;154673167874;4095;1;0x4080
0;0;155179161937;4095;2;0x4080
0;0;155538019936;6;1;0x4000
0;0;155919713499;4095;0;0x4080
0;0;156736561999;4095;4095;0x4080
0;0;158736897749;3;4095;0x4080
0;0;158752523624;4095;1;0x4080
0;0;158908340623;4095;0;0x4080
0;0;159188237749;4095;0;0x4080
0;0;159585651748;4095;0;0x4080
0;0;159663535624;10;4095;0x4080
0;0;160166817374;15;1;0x4000
0;0;160591799874;4095;1;0x4080
0;0;160840789748;4095;2;0x4080
0;0;162435468999;4095;4095;0x4080
0;0;162692179810;4095;4095;0x4080
0;0;162725611749;4095;0;0x4080
0;0;163181055498;4095;4095;0x4080
0;0;163388454749;10;0;0x4000
0;0;163407244749;13;2;0x4000
0;0;166823077937;4095;1;0x4080
0;0;167109797999;2;3;0x4000
0;0;167259261999;4095;1;0x4080
0;0;167469265373;4095;0;0x4080
0;0;167619618935;4095;1;0x4080
0;0;167820346998;4095;4095;0x4080
0;0;167857616998;4095;4095;0x4080
0;0;167894753624;4095;0;0x4080
0;0;167968917749;23;4095;0x4080
0;0;168519339873;4095;1;0x4080
0;0;168550286998;13;1;0x4000
0;0;170302631749;8;6;0x4000
0;0;170429419810;4095;0;0x4080
0;0;170934579749;16;1;0x4000
0;0;171039973499;0;1;0x4000
0;0;171301443123;4095;2;0x4080
0;0;171339017624;10;1;0x4000
0;0;171397547248;4095;4095;0x4080
0;0;171761353936;7;2;0x4000
0;0;171779931623;4095;4095;0x4080
0;0;171837699812;4095;1;0x4080
0;0;171874755623;4095;2;0x4080
0;0;171947961623;4095;0;0x4080
0;0;172019714001;10;1;0x4000
0;0;172461857249;4095;4095;0x4080
0;0;172677751436;4095;4095;0x4080
0;0;173253921749;11;1;0x4000
0;0;174586230249;8;0;0x4000
0;0;174770593748;4095;0;0x4080
0;0;174965261874;4095;3;0x4080
0;0;177495507874;0;4095;0x4080
0;0;177669681999;4095;0;0x4080
0;0;177725809811;4095;2;0x4080
0;0;177802683748;4095;4;0x4080
0;0;177927785749;4095;4095;0x4080
0;0;178732975874;16;1;0x4000
0;0;178801649249;28;2;0x4000
0;0;179090815873;4095;1;0x4080
0;0;179830931373;4095;4095;0x4080
0;0;179849299498;4095;2;0x4080
0;0;180029837999;4095;0;0x4080
0;0;180693943061;4095;1;0x4080
0;0;180988185874;13;1;0x4000
0;0;181382135624;4095;4095;0x4080
0;0;183587783874;26;4;0x4000
0;0;187607690999;4095;1;0x4080
0;0;187803021874;19;8;0x4000
0;0;187836043998;4;2;0x4000
0;0;188198575498;4095;1;0x4080
0;0;188797589873;6;4;0x4000
0;0;188914334998;4095;2;0x4080
0;0;189170093999;4095;4095;0x4080
0;0;190050963749;4095;1;0x4080
0;0;190303026998;16;6;0x4000
0;0;190638158001;4095;0;0x4080
0;0;191093809874;7;1;0x4000
0;0;191112653873;4095;4095;0x4080
0;0;191346009499;6;2;0x4000
0;0;191590769373;19;3;0x4000
0;0;192018025185;4095;1;0x4080
0;0;193100571373;4095;0;0x4080
0;0;193401237687;15;1;0x4000
0;0;193760140998;4095;3;0x4080
0;0;194302809623;20;6;0x4000
0;0;195347291998;4;0;0x4000
0;0;195823291749;4095;0;0x4080
0;0;195928081249;4095;8;0x4080
0;0;196456205935;4095;1;0x4080
0;0;197353541936;4095;4095;0x4080
0;0;198096207936;4095;0;0x4080
0;0;198222046748;50;11;0x4000
0;0;198502325749;4095;4095;0x4080
0;0;198724899937;5;1;0x4000
0;0;198908759936;4095;2;0x4080
0;0;199131189373;4095;0;0x4080
0;0;199341990499;4;0;0x4000
0;0;199363085499;3;0;0x4000
0;0;199456311373;4095;1;0x4080
0;0;200446273749;4095;1;0x4080
0;0;202913587687;4095;1;0x4080
0;0;203071379624;7;3;0x4000
0;0;203264871936;19;2;0x4000
0;0;204320665874;4095;0;0x4080
0;0;206356475624;7;2;0x4000
0;0;206855899623;0;1;0x4000
0;0;207218485373;4095;0;0x4080
0;0;207371289499;4095;1;0x4080
0;0;207427587623;5;3;0x4000
0;0;207643387499;4095;2;0x4080
0;0;207819689874;4095;1;0x4080
0;0;207955020999;37;2;0x4000
0;0;208076913936;5;1;0x4000
0;0;208776321749;4095;4095;0x4080
0;0;210478427624;4095;4095;0x4080
0;0;210638607999;4095;3;0x4080
0;0;210976197249;4095;4095;0x4080
0;0;211075235623;16;2;0x4000
0;0;211094167999;19;2;0x4000
0;0;211171827124;4095;0;0x4080
0;0;211286469687;4095;4095;0x4080
0;0;211618537499;4095;1;0x4080
0;0;212091363749;4095;2;0x4080
0;0;212184297811;4;1;0x4000
0;0;213927386748;4095;1;0x4080
0;0;214227905561;2;1;0x4000
0;0;214833409935;0;2;0x4000
0;0;215405681686;4095;4095;0x4080
0;0;217553090499;4095;3;0x4080
0;0;218108607936;4095;0;0x4080
0;0;218584443561;4095;4095;0x4080
0;0;218682741561;4095;4095;0x4080
0;0;218985189748;4095;1;0x4080
0;0;219004162999;7;2;0x4000
0;0;219216197623;4095;4095;0x4080
0;0;219328136999;4095;4095;0x4080
0;0;219755877873;4095;2;0x4080
0;0;220035427873;4095;0;0x4080
0;0;220582334000;246;20;0x4000
0;0;221989549748;4;3;0x4000
0;0;222323067248;290;20;0x4000
0;0;222607031498;4095;4095;0x4080
0;0;222678131249;4095;3;0x4080
0;0;222833503748;4095;2;0x4080
0;0;222970331248;4095;4095;0x4080
0;0;223066955374;10;4095;0x4080
0;0;223123293874;4095;1;0x4080
0;0;223496453687;4095;0;0x4080
0;0;224076609249;4095;4095;0x4080
0;0;224374237749;4095;0;0x4080
0;0;226598846499;14;0;0x4000
0;0;226692159623;5;3;0x4000
0;0;226729517249;4095;4095;0x4080
0;0;227093840999;4095;1;0x4080
0;0;227152491874;4095;3;0x4080
0;0;227389731311;34;0;0x4000
0;0;227498161498;0;2;0x4000
0;0;227530151873;1;2;0x4000
0;0;227634951811;23;4;0x4000
0;0;227963177373;9;4095;0x4080
0;0;227978553873;4095;0;0x4080
0;0;229979000499;281;18;0x4000
0;0;230449299749;4095;0;0x4080
0;0;231298519874;4095;0;0x4080
0;0;231414997749;4095;1;0x4080
0;0;231678197936;4095;3;0x4080
0;0;231837799998;4095;1;0x4080
0;0;232303081686;2;5;0x4000
0;0;233417689873;4095;4095;0x4080
0;0;234039435623;11;2;0x4000
0;0;234138429373;32;2;0x4000
0;0;234263659248;3;2;0x4000
0;0;234841799874;4095;0;0x4080
0;0;237491214998;4095;1;0x4080
0;0;238111605748;4095;1;0x4080
0;0;238866323749;4095;1;0x4080
0;0;238963347749;14;0;0x4000
0;0;239169095936;13;4095;0x4080
0;0;239351355498;19;0;0x4000
0;0;239963367998;4095;4095;0x4080
0;0;240085689435;4095;2;0x4080
0;0;240278622001;13;3;0x4000
0;0;240878078311;1596;59;0x4000
0;0;241197092998;4095;0;0x4080
0;0;243804893812;4095;4095;0x4080
0;0;244178283374;4095;2;0x4080
0;0;245489867749;1;5;0x4000
0;0;246219909748;4095;2;0x4080
0;0;246496135810;4095;3;0x4080
0;0;246899943936;4095;1;0x4080
0;0;246975054248;1;1;0x4000
0;0;247493405124;3;4;0x4000
0;0;247692077873;4095;2;0x4080
0;0;249085223624;15;0;0x4000
0;0;249260799748;4095;2;0x4080
0;0;250219162999;385;21;0x4000
0;0;250389277624;14;4095;0x4080
0;0;250639595498;4095;4095;0x4080
0;0;250736345873;6;2;0x4000
0;0;250755143749;3;3;0x4000
0;0;250795015748;4095;2;0x4080
0;0;250890927498;4095;4095;0x4080
0;0;251002430999;2;0;0x4000
0;0;251178333499;4095;0;0x4080
0;0;251257229249;4095;4095;0x4080
0;0;251498709499;6;0;0x4000
0;0;252432979499;9;2;0x4000
0;0;253884593811;4095;1;0x4080
0;0;254059279623;0;3;0x4000
0;0;254321191249;237;15;0x4000
0;0;254331876000;6;2;0x4000
0;0;254350589499;4095;4095;0x4080
0;0;254465025623;4095;4095;0x4080
0;0;254773997498;5;4095;0x4080
0;0;255037601498;4095;2;0x4080
0;0;255825008999;14;1;0x4000
0;0;256160893874;1062;34;0x4000
0;0;257678271374;7;8;0x4000
0;0;258178501874;4095;4095;0x4080
0;0;258335737998;5;4095;0x4080
0;0;258611869811;5;3;0x4000
0;0;258988169998;18;2;0x4000
0;0;259080691873;0;1;0x4000
0;0;259477205498;16;1;0x4000
0;0;260259283499;9;1;0x4000
0;0;261873163749;12;4095;0x4080
0;0;262103799498;14;1;0x4000
0;0;262386741436;4095;0;0x4080
0;0;262523051873;4095;1;0x4080
0;0;262620341624;4095;1;0x4080
0;0;262674807749;4095;0;0x4080
0;0;263274389749;4095;2;0x4080
0;0;263432873935;4;2;0x4000
0;0;263538647749;0;2;0x4000
0;0;263676065999;4095;4095;0x4080
0;0;265355497749;4095;1;0x4080
0;0;266075451749;8;1;0x4000
0;0;266128875123;12;1;0x4000
0;0;266684727749;4095;0;0x4080
0;0;266743232624;3;1;0x4000
0;0;268030613374;13;1;0x4000
0;0;268836797811;4095;1;0x4080
0;0;268910881624;4095;0;0x4080
0;0;269055995810;4095;2;0x4080
0;0;270140509373;3;4095;0x4080
0;0;270331447874;4095;4095;0x4080
0;0;270368983624;4095;1;0x4080
0;0;270772531124;4095;0;0x4080
0;0;270993263873;4;1;0x4000
0;0;271178613748;1;4;0x4000
0;0;271371469999;1;4095;0x4080
0;0;271705793749;4095;0;0x4080
0;0;272172981374;205;17;0x4000
0;0;272815367623;14;4095;0x4080
0;0;272918687812;8;2;0x4000
0;0;273452775874;4095;2;0x4080
0;0;273601185873;8;4095;0x4080
0;0;273650318499;4095;4095;0x4080
0;0;274075434748;15;4;0x4000
0;0;274147797749;4095;1;0x4080
0;0;274200358498;285;17;0x4000
0;0;274303645498;11;3;0x4000
0;0;274358627748;4095;3;0x4080
0;0;274630151748;4095;4095;0x4080
0;0;274724020998;4095;3;0x4080
0;0;275452921249;4095;0;0x4080
0;0;275625001374;4095;2;0x4080
0;0;276832723937;1;0;0x4000
0;0;277014931999;0;3;0x4000
0;0;277051375624;4095;0;0x4080
0;0;277360195873;4095;3;0x4080
0;0;277620669874;4095;4095;0x4080
0;0;277791049749;4095;0;0x4080
0;0;277952205936;14;4095;0x4080
0;0;278249867874;4095;4095;0x4080
0;0;278594663749;4095;0;0x4080
0;0;278648467936;12;1;0x4000
0;0;278743974999;4095;1;0x4080
0;0;278959649186;4095;1;0x4080
0;0;279467761936;13;3;0x4000
0;0;279810567811;4095;0;0x4080
0;0;281249142873;4095;1;0x4080
0;0;281279401999;27;2;0x4000
0;0;281786551811;4095;4095;0x4080
0;0;283777637810;4095;4095;0x4080
0;0;285803737561;4095;4;0x4080
0;0;285847102249;184;27;0x4000
0;0;286004701374;9;1;0x4000
0;0;286192741873;4095;2;0x4080
0;0;286232869874;4095;0;0x4080
0;0;286251909498;22;1;0x4000
0;0;286319781749;4095;0;0x4080
0;0;286571917748;4095;2;0x4080
0;0;286813262999;2;1;0x4000
0;0;289053507373;4095;5;0x4080
0;0;289107591498;12;1;0x4000
0;0;289410331498;4095;1;0x4080
0;0;289446041624;4095;4095;0x4080
0;0;289685479935;5;4095;0x4080
0;0;289938229124;4095;0;0x4080
0;0;289975221811;14;2;0x4000
0;0;290303607373;4095;4095;0x4080
0;0;290400091248;4095;1;0x4080
0;0;290474918998;8;2;0x4000
0;0;290588981874;4095;1;0x4080
0;0;290625845936;6;4095;0x4080
0;0;290662677936;4095;3;0x4080
0;0;290904483874;4095;4095;0x4080
0;0;291069776000;4095;4095;0x4080
0;0;291251429874;4095;0;0x4080
0;0;291880710998;6;5;0x4000
0;0;292131059749;4095;0;0x4080
0;0;292987193499;4095;1;0x4080
0;0;293678786000;11;5;0x4000
0;0;293842396748;4095;0;0x4080
0;0;294178647499;4095;3;0x4080
0;0;294334634998;4095;1;0x4080
0;0;294711850123;4095;0;0x4080
0;0;294820003749;9;3;0x4000
0;0;296768937185;25;2;0x4000
0;0;297169041873;4095;4095;0x4080
0;0;297303668999;0;0;0x4000
0;0;298444560248;11;0;0x4000
0;0;298774774749;4095;2;0x4080
0;0;299126533498;4095;4095;0x4080
0;0;299678585748;11;6;0x4000
0;0;300400569937;4095;0;0x4080
0;0;300684589874;0;3;0x4000
0;0;301413015749;4095;0;0x4080
0;0;301660378873;11;0;0x4000
0;0;302208601748;19;4095;0x4080
0;0;305219647060;560;22;0x4000
0;0;305644267937;4095;1;0x4080
0;0;306056215374;18;0;0x4000
0;0;306096583873;16;3;0x4000
0;0;306231727498;4095;1;0x4080
0;0;306852407249;9;1;0x4000
0;0;306868199998;4095;1;0x4080
0;0;306883985749;4095;0;0x4080
0;0;307063941374;21;7;0x4000
0;0;307089791498;4095;4095;0x4080
0;0;307153859935;4095;4;0x4080
0;0;307266589436;4095;2;0x4080
0;0;307760483748;4095;1;0x4080
0;0;308616465935;4095;1;0x4080
0;0;309045011874;4095;1;0x4080
0;0;309818311249;4095;0;0x4080
0;0;309895345124;8;2;0x4000
0;0;310128571998;4095;0;0x4080
0;0;310281011874;4095;0;0x4080
0;0;310436419623;4095;1;0x4080
0;0;310563275748;4095;0;0x4080
0;0;310741135498;6;1;0x4000
0;0;311336309936;4095;4095;0x4080
0;0;312308653935;4;2;0x4000
0;0;312885879936;4095;1;0x4080
0;0;313608549874;27;2;0x4000
0;0;313682821874;4095;2;0x4080
0;0;313888212749;4095;1;0x4080
0;0;313907095936;26;3;0x4000
0;0;313944663686;15;0;0x4000
0;0;314159789874;12;0;0x4000
0;0;314587219748;4095;2;0x4080
0;0;314726327937;12;1;0x4000
0;0;316989298749;4095;1;0x4080
0;0;317317846749;4095;4095;0x4080
0;0;317584399999;4095;4095;0x4080
0;0;318120488874;784;28;0x4000
0;0;318250675687;4095;4095;0x4080
0;0;318467921936;1;2;0x4000
0;0;318829221999;4095;4095;0x4080
0;0;319258101874;4095;0;0x4080
0;0;319347542748;4095;0;0x4080
0;0;320303979749;7;4;0x4000
0;0;321039007499;30;1;0x4000
0;0;321542987998;4095;2;0x4080
0;0;321824127998;4095;4095;0x4080
0;0;321920605748;21;1;0x4000
0;0;321941766123;4095;1;0x4080
0;0;322174495999;3;0;0x4000
0;0;322376479874;7;1;0x4000
0;0;322632589968;29;1;0x4000
0;0;324303865499;4;4095;0x4080
0;0;324553873374;16;2;0x4000
0;0;325228912000;926;37;0x4000
0;0;325779687748;4095;4095;0x4080
0;0;326087160749;2;1;0x4000
0;0;326330573498;0;1;0x4000
0;0;326528699749;4;0;0x4000
0;0;326881823749;0;0;0x4000
0;0;327893467748;16;2;0x4000
0;0;328338036749;4095;1;0x4080
0;0;328993087874;4095;2;0x4080
0;0;329661993873;11;0;0x4000
0;0;329678895998;4095;4095;0x4080
0;0;329876181623;0;1;0x4000
0;0;330031509623;3;4095;0x4080
0;0;330050297748;4095;2;0x4080
0;0;330143381874;17;1;0x4000
0;0;330201531873;14;1;0x4000
0;0;330383331873;4095;0;0x4080
0;0;330420047499;4095;2;0x4080
0;0;330797829936;4095;1;0x4080
0;0;331008253249;4095;1;0x4080
0;0;333304463623;4;2;0x4000
0;0;333429075624;7;4;0x4000
0;0;333468132249;24;3;0x4000
0;0;333553942001;4095;4;0x4080
0;0;333656801874;4095;1;0x4080
0;0;333675622998;7;1;0x4000
0;0;333694449624;4095;4095;0x4080
0;0;333772026499;20;0;0x4000
0;0;333849991749;4095;4095;0x4080
0;0;333909119498;2;2;0x4000
0;0;334211126249;4095;0;0x4080
0;0;334393530623;14;0;0x4000
0;0;334464369623;4095;2;0x4080
0;0;335581527811;4095;0;0x4080
0;0;336940267624;4095;4095;0x4080
0;0;337482223748;22;0;0x4000
0;0;337500907874;10;4095;0x4080
0;0;337805363749;11;1;0x4000
0;0;338436317623;4095;1;0x4080
0;0;338538581873;4095;4095;0x4080
0;0;338686901124;4095;4095;0x4080
0;0;338753941749;4095;4095;0x4080
0;0;339686631874;439;17;0x4000
0;0;340342242749;0;1;0x4000
0;0;340477303937;4;4095;0x4080
0;0;340689241935;4095;1;0x4080
0;0;340826685873;3;1;0x4000
0;0;341018613498;16;4095;0x4080
